,x,y,z
C_left_0,4.068000345428845,0.0,0.0
C_left_1,4.068000345428845,2.4595121467478056,0.0
C_in_0,3.822669905954012,2.4595121467478056,1.3913380611924433
C_in_1,3.522991641745252,1.2297560733739028,2.034000172714422
C_in_2,2.6148602182422245,1.2297560733739028,3.1162690592218496
C_left_2,4.068000345428845,4.919024293495611,0.0
C_in_3,3.822669905954012,4.919024293495611,1.3913380611924433
C_in_4,3.522991641745252,3.6892682201217086,2.034000172714422
C_in_5,2.6148602182422245,3.6892682201217086,3.1162690592218496
C_in_6,2.034000172714423,2.4595121467478056,3.5229916417452514
C_in_7,0.7064008467321633,2.4595121467478056,4.006198279434667
C_in_8,1.152370709633627e-15,1.2297560733739028,4.068000345428845
C_in_9,-1.3913380611924426,1.2297560733739028,3.822669905954012
C_left_3,4.068000345428845,7.378536440243417,0.0
C_in_10,3.822669905954012,7.378536440243417,1.3913380611924433
C_in_11,3.522991641745252,6.148780366869515,2.034000172714422
C_in_12,2.6148602182422245,6.148780366869515,3.1162690592218496
C_in_13,2.034000172714423,4.919024293495611,3.5229916417452514
C_in_14,0.7064008467321633,4.919024293495611,4.006198279434667
C_in_15,1.152370709633627e-15,3.6892682201217086,4.068000345428845
C_in_16,-1.3913380611924426,3.6892682201217086,3.822669905954012
C_in_17,-2.0340001727144217,2.459512146747806,3.5229916417452523
C_in_18,-3.1162690592218496,2.459512146747806,2.6148602182422245
C_in_19,-3.522991641745251,1.229756073373903,2.034000172714424
C_in_20,-4.006198279434667,1.229756073373903,0.7064008467321653
C_left_4,4.068000345428845,9.838048586991222,0.0
C_in_21,3.822669905954012,9.838048586991222,1.3913380611924433
C_in_22,3.522991641745252,8.60829251361732,2.034000172714422
C_in_23,2.6148602182422245,8.60829251361732,3.1162690592218496
C_in_24,2.034000172714423,7.378536440243417,3.5229916417452514
C_in_25,0.7064008467321633,7.378536440243417,4.006198279434667
C_in_26,1.152370709633627e-15,6.148780366869514,4.068000345428845
C_in_27,-1.3913380611924426,6.148780366869514,3.822669905954012
C_in_28,-2.0340001727144217,4.919024293495611,3.5229916417452523
C_in_29,-3.1162690592218496,4.919024293495611,2.6148602182422245
C_in_30,-3.522991641745251,3.6892682201217086,2.034000172714424
C_in_31,-4.006198279434667,3.6892682201217086,0.7064008467321653
C_in_32,-4.068000345428845,2.4595121467478056,2.304741419267254e-15
C_in_33,-3.8226699059540126,2.4595121467478056,-1.3913380611924417
C_in_34,-3.5229916417452523,1.2297560733739026,-2.0340001727144217
C_in_35,-2.6148602182422276,1.2297560733739026,-3.1162690592218465
C_left_5,4.068000345428845,12.297560733739028,0.0
C_in_36,3.822669905954012,12.297560733739028,1.3913380611924433
C_in_37,3.5229916417452523,11.067804660365125,2.0340001727144217
C_in_38,2.6148602182422254,11.067804660365125,3.116269059221849
C_in_39,2.034000172714424,9.838048586991222,3.522991641745251
C_in_40,0.7064008467321642,9.838048586991222,4.006198279434667
C_in_41,2.0556482391692657e-15,8.60829251361732,4.068000345428845
C_in_42,-1.3913380611924417,8.60829251361732,3.8226699059540126
C_in_43,-2.0340001727144217,7.378536440243416,3.5229916417452523
C_in_44,-3.1162690592218496,7.378536440243416,2.6148602182422245
C_in_45,-3.522991641745251,6.148780366869514,2.034000172714424
C_in_46,-4.006198279434667,6.148780366869514,0.7064008467321653
C_in_47,-4.068000345428845,4.919024293495611,4.111296478338531e-15
C_in_48,-3.8226699059540135,4.919024293495611,-1.3913380611924397
C_in_49,-3.522991641745253,3.689268220121708,-2.03400017271442
C_in_50,-2.6148602182422276,3.689268220121708,-3.1162690592218465
C_in_51,-2.0340001727144243,2.459512146747805,-3.5229916417452505
C_in_52,-0.7064008467321621,2.459512146747805,-4.006198279434667
C_in_53,-4.3603896584365194e-15,1.2297560733739026,-4.068000345428845
C_in_54,1.391338061192438,1.2297560733739026,-3.822669905954014
C_left_6,4.068000345428845,14.757072880486835,0.0
C_in_55,3.5229916417452514,13.527316807112932,2.034000172714423
C_in_56,2.614860218242223,13.527316807112932,3.1162690592218505
C_in_57,2.034000172714423,12.29756073373903,3.5229916417452514
C_in_58,0.7064008467321633,12.29756073373903,4.006198279434667
C_in_59,1.152370709633627e-15,11.067804660365127,4.068000345428845
C_in_60,-1.3913380611924426,11.067804660365127,3.822669905954012
C_in_61,-2.0340001727144217,9.838048586991222,3.5229916417452523
C_in_62,-3.1162690592218496,9.838048586991222,2.6148602182422245
C_in_63,-3.522991641745251,8.60829251361732,2.034000172714424
C_in_64,-4.006198279434667,8.60829251361732,0.7064008467321653
C_in_65,-4.068000345428845,7.378536440243417,2.304741419267254e-15
C_in_66,-3.8226699059540126,7.378536440243417,-1.3913380611924417
C_in_67,-3.5229916417452523,6.148780366869515,-2.0340001727144217
C_in_68,-2.6148602182422276,6.148780366869515,-3.1162690592218465
C_in_69,-2.0340001727144243,4.919024293495612,-3.5229916417452505
C_in_70,-0.7064008467321621,4.919024293495612,-4.006198279434667
C_in_71,-4.3603896584365194e-15,3.6892682201217086,-4.068000345428845
C_in_72,1.391338061192438,3.6892682201217086,-3.822669905954014
C_in_73,2.0340001727144195,2.459512146747806,-3.522991641745253
C_in_74,3.1162690592218465,2.459512146747806,-2.6148602182422276
C_in_75,3.5229916417452505,1.2297560733739035,-2.0340001727144243
C_in_76,4.006198279434667,1.2297560733739035,-0.7064008467321623
C_in_77,2.490931800979881e-16,13.527316807112932,4.068000345428845
C_in_78,-1.3913380611924435,13.527316807112932,3.822669905954012
C_in_79,-2.0340001727144217,12.29756073373903,3.5229916417452523
C_in_80,-3.1162690592218496,12.29756073373903,2.6148602182422245
C_in_81,-3.522991641745252,11.067804660365125,2.034000172714422
C_in_82,-4.006198279434667,11.067804660365125,0.7064008467321635
C_in_83,-4.068000345428845,9.838048586991222,4.981863601959762e-16
C_in_84,-3.822669905954012,9.838048586991222,-1.3913380611924433
C_in_85,-3.5229916417452523,8.60829251361732,-2.0340001727144217
C_in_86,-2.6148602182422276,8.60829251361732,-3.1162690592218465
C_in_87,-2.0340001727144243,7.378536440243417,-3.5229916417452505
C_in_88,-0.7064008467321621,7.378536440243417,-4.006198279434667
C_in_89,-7.472795402939644e-16,6.148780366869515,-4.068000345428845
C_in_90,1.3913380611924449,6.148780366869515,-3.8226699059540117
C_in_91,2.0340001727144226,4.919024293495611,-3.5229916417452514
C_in_92,3.1162690592218465,4.919024293495611,-2.6148602182422276
C_in_93,3.5229916417452505,3.6892682201217086,-2.0340001727144243
C_in_94,4.006198279434667,3.6892682201217086,-0.7064008467321623
C_in_95,-3.522991641745251,13.527316807112932,2.034000172714424
C_in_96,-4.006198279434667,13.527316807112932,0.7064008467321653
C_in_97,-4.068000345428845,12.297560733739028,2.304741419267254e-15
C_in_98,-3.8226699059540126,12.297560733739028,-1.3913380611924417
C_in_99,-3.5229916417452523,11.067804660365125,-2.0340001727144217
C_in_100,-2.6148602182422276,11.067804660365125,-3.1162690592218465
C_in_101,-2.0340001727144243,9.838048586991222,-3.5229916417452505
C_in_102,-0.7064008467321621,9.838048586991222,-4.006198279434667
C_in_103,-4.3603896584365194e-15,8.60829251361732,-4.068000345428845
C_in_104,1.391338061192438,8.60829251361732,-3.822669905954014
C_in_105,2.0340001727144195,7.378536440243417,-3.522991641745253
C_in_106,3.1162690592218465,7.378536440243417,-2.6148602182422276
C_in_107,3.5229916417452505,6.148780366869514,-2.0340001727144243
C_in_108,4.006198279434667,6.148780366869514,-0.7064008467321623
C_in_109,-3.522991641745253,13.52731680711293,-2.03400017271442
